listing_id,review_id,date,reviewer_id
375,134,2023-02-28,6759
366,135,2024-08-29,6156
305,136,2020-11-30,9332
303,137,2017-04-04,11826
473,138,2017-05-02,7919
595,139,2019-05-14,10753
585,140,2021-02-24,6633
267,141,2019-03-31,11941
209,142,2016-05-30,7730
237,143,2021-06-23,9182
548,144,2016-05-04,6820
200,145,2017-05-26,9340
223,146,2020-09-21,5681
71,147,2023-09-20,6646
246,148,2025-04-04,10278
534,149,2026-04-19,9922
187,150,2020-10-15,5306
526,151,2021-04-27,9145
548,152,2025-12-22,6434
571,153,2016-10-06,7888
179,154,2021-05-19,9450
487,155,2018-03-15,5078
293,156,2025-04-11,9545
446,157,2018-01-23,7588
65,158,2019-07-07,6487
126,159,2020-12-28,10664
314,160,2020-07-31,7676
218,161,2026-05-23,7682
232,162,2021-05-30,11653
525,163,2016-07-23,5831
525,164,2022-05-01,5879
365,165,2020-10-06,10616
490,166,2018-02-09,7396
286,167,2025-09-30,8125
509,168,2016-12-24,11022
491,169,2020-12-18,11080
388,170,2017-10-27,9853
408,171,2022-08-08,5534
318,172,2018-07-08,6719
406,173,2017-07-13,9814
590,174,2018-11-18,8080
441,175,2018-12-09,7797
54,176,2022-11-01,9813
589,177,2022-07-27,11474
30,178,2023-09-25,5302
115,179,2016-07-16,9360
568,180,2019-10-25,8929
234,181,2022-06-23,5138
545,182,2026-02-27,6916
349,183,2017-11-01,5779
88,184,2022-01-22,9869
420,185,2023-06-10,9276
298,186,2026-02-22,7355
175,187,2023-04-18,7415
400,188,2019-02-08,11030
527,189,2024-09-15,9232
305,190,2022-12-11,11152
469,191,2022-07-15,8036
449,192,2017-11-30,9596
380,193,2025-03-28,11349
503,194,2019-09-07,10202
585,195,2019-11-28,11178
533,196,2017-06-01,9246
114,197,2025-06-13,9852
53,198,2018-01-03,6175
74,199,2020-12-11,11104
598,200,2021-03-10,10989
552,201,2022-10-31,10409
76,202,2025-03-12,6127
307,203,2021-12-06,9427
193,204,2023-03-03,9984
463,205,2026-01-29,5671
474,206,2016-02-28,7688
595,207,2021-12-07,7451
269,208,2026-05-18,7692
102,209,2024-11-09,7178
212,210,2020-10-08,9066
164,211,2021-11-12,8204
536,212,2017-03-05,5679
187,213,2024-02-22,6782
31,214,2018-05-09,9326
515,215,2019-10-31,11160
445,216,2025-07-09,9393
117,217,2024-09-10,5671
592,218,2018-10-03,9995
504,219,2025-05-10,9413
82,220,2019-01-31,7757
591,221,2016-02-16,11726
24,222,2024-04-10,11512
587,223,2023-01-25,11929
171,224,2025-05-06,5863
456,225,2021-03-31,9727
49,226,2020-02-26,7585
152,227,2022-04-13,8483
434,228,2022-07-24,6701
227,229,2025-03-25,11466
383,230,2017-01-01,10144
321,231,2024-05-07,9133
552,232,2024-06-02,5169
476,233,2024-05-25,5097
327,234,2018-03-10,6036
405,235,2016-03-22,11112
125,236,2017-05-14,9715
247,237,2024-10-29,9788
82,238,2016-02-12,7036
546,239,2017-05-29,11986
588,240,2021-04-26,7518
138,241,2023-04-01,7581
358,242,2017-05-11,6993
437,243,2016-06-22,9701
61,244,2023-09-27,9350
336,245,2025-04-07,9382
104,246,2025-08-05,9114
126,247,2016-06-23,7321
336,248,2016-09-06,6111
307,249,2018-05-19,10854
473,250,2018-04-26,8280
72,251,2026-02-27,7811
544,252,2021-07-25,6684
389,253,2024-06-29,8293
144,254,2026-04-05,8603
81,255,2018-06-07,10654
358,256,2021-09-18,10903
411,257,2022-05-16,7009
215,258,2019-12-17,6982
62,259,2023-11-24,5058
342,260,2022-02-08,7635
441,261,2017-01-05,8004
299,262,2021-01-18,10453
253,263,2016-12-18,10330
343,264,2025-08-26,8160
385,265,2018-09-07,9790
500,266,2022-05-15,6523
366,267,2019-11-21,11470
119,268,2017-02-18,8111
298,269,2018-10-05,8218
44,270,2023-05-27,6097
521,271,2026-03-20,6965
483,272,2021-06-14,6488
468,273,2016-04-25,6297
558,274,2022-09-01,8455
388,275,2020-08-05,5038
352,276,2026-04-02,7042
303,277,2017-12-26,9269
85,278,2020-03-27,11612
262,279,2018-11-16,5562
423,280,2016-11-09,5286
108,281,2022-12-28,10706
473,282,2019-08-17,10198
210,283,2019-10-03,9386
307,284,2020-08-04,11784
272,285,2016-06-24,8058
128,286,2016-06-02,6547
574,287,2022-02-17,5010
139,288,2021-07-01,6753
9,289,2018-12-17,6169
499,290,2020-09-15,6708
433,291,2017-07-04,9170
105,292,2018-12-14,10191
266,293,2023-08-02,7216
465,294,2017-04-20,9332
593,295,2018-07-30,9849
325,296,2024-11-27,6731
23,297,2022-06-14,8373
589,298,2024-12-09,5367
429,299,2021-07-21,8294
267,300,2023-10-18,11194
4,301,2022-05-22,6422
178,302,2021-09-02,9395
285,303,2022-11-18,9170
466,304,2024-07-31,7208
328,305,2024-06-17,7872
115,306,2025-08-05,10791
243,307,2025-04-27,11811
337,308,2022-01-11,11132
465,309,2017-07-10,11929
503,310,2017-05-19,8715
273,311,2025-12-17,6610
22,312,2023-03-13,8480
567,313,2022-04-12,5981
109,314,2024-06-29,8143
278,315,2024-09-12,10905
36,316,2018-04-11,7499
214,317,2022-08-16,9127
536,318,2026-02-08,5532
520,319,2021-07-14,6683
562,320,2021-04-08,8630
368,321,2021-09-28,6822
240,322,2018-05-28,8315
291,323,2024-07-13,8890
461,324,2016-02-27,11794
258,325,2017-01-21,6905
9,326,2022-10-14,5102
116,327,2019-11-30,6581
525,328,2025-04-05,10217
430,329,2016-04-04,6526
559,330,2017-06-07,8243
137,331,2019-11-29,7166
171,332,2016-06-10,7146
70,333,2023-05-07,11941
175,334,2025-09-02,6905
88,335,2022-11-08,5285
365,336,2021-01-18,8783
138,337,2016-01-30,7199
287,338,2016-09-28,5161
58,339,2023-12-07,10653
507,340,2023-09-25,9846
279,341,2017-02-12,9628
221,342,2017-10-15,7217
381,343,2024-10-03,6967
565,344,2023-03-19,5616
61,345,2022-12-20,8954
317,346,2017-02-08,10196
148,347,2017-08-13,11149
284,348,2022-02-06,8814
29,349,2022-08-02,10981
572,350,2021-04-28,6237
400,351,2018-11-13,9704
417,352,2018-04-18,6501
182,353,2020-03-08,5640
508,354,2025-06-10,7445
148,355,2018-01-29,7372
15,356,2018-12-21,11818
220,357,2017-12-07,8434
103,358,2017-03-17,9371
53,359,2016-05-25,6576
313,360,2020-04-16,9307
442,361,2017-02-10,10632
391,362,2018-05-31,5411
487,363,2016-02-19,6223
560,364,2020-06-23,8675
174,365,2016-08-17,6240
36,366,2016-05-10,9870
344,367,2024-09-27,11491
243,368,2020-05-20,11574
425,369,2024-02-03,6110
72,370,2022-05-28,7952
202,371,2020-08-03,9454
598,372,2016-05-07,5081
348,373,2021-03-19,8897
321,374,2016-05-02,5490
99,375,2021-07-20,6993
140,376,2019-09-28,11536
577,377,2016-02-20,5212
473,378,2018-06-04,10040
473,379,2017-01-01,6552
36,380,2023-05-04,8698
176,381,2017-10-18,5766
112,382,2018-04-16,9428
390,383,2022-05-08,5337
522,384,2021-04-19,5619
400,385,2021-07-23,6167
191,386,2017-05-06,5204
260,387,2019-07-19,10815
287,388,2024-05-03,8338
115,389,2021-07-24,5908
584,390,2017-11-15,9482
71,391,2021-04-25,11834
7,392,2021-02-05,7103
314,393,2018-09-30,8334
56,394,2017-08-15,11758
231,395,2024-07-08,7470
301,396,2025-08-10,11443
135,397,2018-01-22,7953
148,398,2017-01-15,10307
407,399,2016-03-04,6180
351,400,2018-01-11,6758
277,401,2024-06-20,5674
146,402,2024-03-19,10442
18,403,2022-07-17,7224
313,404,2024-04-26,11744
457,405,2024-12-11,11902
486,406,2025-11-27,6476
385,407,2022-12-02,5185
214,408,2023-07-25,6496
431,409,2023-03-12,10124
362,410,2019-07-17,5773
231,411,2026-05-08,6069
482,412,2020-08-02,5646
477,413,2022-10-04,11703
308,414,2024-01-28,9564
25,415,2023-08-05,6097
277,416,2019-11-13,11776
368,417,2022-07-21,9424
360,418,2017-04-03,8131
38,419,2017-06-22,5866
109,420,2022-06-13,10467
114,421,2019-08-02,9399
596,422,2026-05-05,11894
94,423,2017-11-30,11598
441,424,2022-01-22,8314
293,425,2024-03-19,9969
549,426,2025-12-03,8388
262,427,2021-05-15,9554
439,428,2024-11-14,9208
432,429,2017-06-03,6752
475,430,2020-04-02,5481
10,431,2021-08-10,9305
276,432,2019-07-01,8737
266,433,2016-04-06,9187
237,434,2020-11-30,11724
571,435,2016-12-28,9624
113,436,2022-05-31,5266
503,437,2019-04-09,10076
581,438,2017-06-19,5702
448,439,2019-05-16,5357
52,440,2020-07-11,9679
542,441,2025-03-28,11295
207,442,2020-05-28,9980
131,443,2025-05-07,6616
334,444,2018-08-01,7282
554,445,2019-01-06,9176
448,446,2019-01-12,8678
41,447,2021-08-27,6292
121,448,2018-07-06,9702
541,449,2020-08-07,7609
281,450,2020-11-03,6535
152,451,2024-01-05,5079
173,452,2016-09-27,6363
205,453,2024-05-03,10954
504,454,2023-09-12,11082
152,455,2025-09-18,5119
368,456,2026-02-14,7693
2,457,2025-11-07,6705
224,458,2016-01-09,5499
22,459,2016-03-15,9493
532,460,2020-03-23,7037
299,461,2024-05-04,10851
413,462,2021-01-31,6960
114,463,2022-11-12,5039
4,464,2021-10-15,9268
586,465,2024-08-12,11374
582,466,2017-01-03,5993
259,467,2017-05-02,8327
3,468,2016-04-04,9748
95,469,2020-04-23,9650
156,470,2025-03-14,6925
143,471,2023-09-08,9050
207,472,2021-02-13,11079
596,473,2023-07-20,9357
592,474,2024-02-24,8766
46,475,2020-05-09,5072
555,476,2024-11-30,11005
345,477,2019-05-14,9450
85,478,2025-08-01,9486
436,479,2021-05-20,7113
398,480,2018-09-30,5332
52,481,2016-04-04,9888
528,482,2019-02-09,10605
225,483,2018-10-17,8559
122,484,2025-12-25,5792
251,485,2020-12-30,5675
99,486,2021-11-13,5697
326,487,2017-01-13,10424
569,488,2023-03-30,8025
266,489,2019-09-12,9106
145,490,2024-07-06,9696
317,491,2017-09-06,5148
194,492,2023-02-17,7128
13,493,2016-10-07,7973
209,494,2019-08-19,11247
245,495,2019-02-11,8382
421,496,2016-05-02,8657
330,497,2020-03-16,9708
257,498,2019-03-06,9767
280,499,2025-09-05,8313
443,500,2020-12-13,6214
55,501,2017-01-26,5479
564,502,2017-07-19,7187
17,503,2025-01-31,6140
553,504,2026-03-17,5750
520,505,2017-09-15,6128
228,506,2021-10-03,8659
296,507,2016-01-05,6222
401,508,2017-07-30,5275
544,509,2019-11-20,9102
72,510,2021-07-28,7146
333,511,2026-02-23,6113
479,512,2018-07-20,11468
368,513,2023-02-22,6578
422,514,2019-06-30,6308
228,515,2019-11-11,8722
18,516,2016-02-04,7413
90,517,2017-10-15,10077
97,518,2024-08-26,9587
143,519,2022-03-09,10744
340,520,2017-03-15,9497
119,521,2023-09-13,8429
72,522,2023-01-17,6447
336,523,2019-11-18,9624
19,524,2019-03-20,10452
408,525,2017-04-13,5259
63,526,2021-03-18,9928
178,527,2018-06-16,5453
271,528,2020-10-12,8345
25,529,2016-08-08,5698
131,530,2022-04-19,6984
535,531,2017-08-10,8754
89,532,2016-05-01,5735
180,533,2018-04-01,6041
582,534,2024-03-29,10137
438,535,2016-10-08,7874
92,536,2017-05-27,5240
271,537,2021-12-20,10859
384,538,2016-02-17,9077
440,539,2020-11-17,11155
333,540,2018-07-08,11675
265,541,2019-07-02,8127
48,542,2025-10-25,7502
182,543,2026-01-09,6182
451,544,2020-09-12,6792
308,545,2020-04-17,11760
26,546,2017-03-14,10095
91,547,2019-09-25,6938
8,548,2020-02-07,9089
210,549,2024-03-16,7532
504,550,2025-06-24,6219
266,551,2018-08-20,7864
572,552,2020-09-23,5680
503,553,2020-08-05,9380
174,554,2017-10-30,7603
104,555,2024-05-27,10565
130,556,2025-04-06,8758
188,557,2020-06-02,8711
4,558,2021-09-17,8211
429,559,2023-11-21,11629
397,560,2019-12-09,10724
410,561,2017-09-17,6065
283,562,2016-11-09,10090
453,563,2025-11-29,8348
559,564,2020-12-15,9183
277,565,2024-11-10,10108
301,566,2021-04-22,8826
83,567,2023-06-06,6307
593,568,2016-09-03,10235
213,569,2020-01-21,5123
38,570,2020-08-17,5891
523,571,2019-05-27,9100
580,572,2021-06-02,7468
150,573,2017-05-29,6927
321,574,2025-09-09,7227
215,575,2019-06-13,5439
315,576,2024-02-21,8434
388,577,2022-02-21,6248
114,578,2017-09-09,5711
345,579,2024-11-12,10219
444,580,2025-06-16,7070
365,581,2017-11-01,7923
263,582,2022-06-12,11436
177,583,2016-03-11,8274
284,584,2024-12-25,7318
91,585,2024-08-05,6013
104,586,2023-07-09,10818
505,587,2024-09-05,6602
560,588,2022-03-04,5657
544,589,2017-08-24,8797
256,590,2016-01-11,10477
440,591,2018-08-14,7512
231,592,2019-10-13,10547
295,593,2021-08-11,9118
184,594,2024-02-13,5530
541,595,2021-10-17,7271
430,596,2022-01-07,5190
415,597,2020-07-17,7127
19,598,2019-11-23,11936
101,599,2025-02-26,5825
45,600,2018-01-14,5746
165,601,2025-02-20,8039
319,602,2018-03-14,10378
286,603,2016-12-02,11571
191,604,2018-10-09,5240
122,605,2023-12-10,8288
53,606,2019-06-27,10007
541,607,2020-10-02,5034
246,608,2021-07-27,6165
103,609,2024-01-01,10980
518,610,2020-04-26,5433
60,611,2018-04-09,6336
64,612,2023-11-02,6651
108,613,2022-09-01,8659
564,614,2025-04-14,9851
51,615,2016-11-24,5732
283,616,2016-05-12,5108
215,617,2019-05-04,8889
120,618,2018-09-12,5876
509,619,2024-05-19,5810
478,620,2024-07-17,10343
569,621,2020-08-26,5373
108,622,2025-12-02,10163
398,623,2025-11-30,6274
364,624,2023-09-01,10859
53,625,2024-02-04,9156
265,626,2017-02-07,9766
292,627,2025-06-24,10211
478,628,2025-03-18,9291
337,629,2025-09-22,7987
10,630,2023-01-19,5986
79,631,2018-04-23,8584
349,632,2018-07-04,7766
543,633,2017-11-09,10784
123,634,2016-04-02,8871
171,635,2022-04-05,9329
455,636,2021-11-10,11100
4,637,2021-04-15,6127
480,638,2022-09-18,11229
58,639,2024-01-07,6857
480,640,2017-04-03,8403
109,641,2020-10-13,5225
566,642,2023-09-28,9194
114,643,2024-09-26,10042
482,644,2025-05-12,6266
133,645,2026-01-08,6661
394,646,2018-10-26,8941
503,647,2024-09-08,5988
549,648,2018-03-21,8974
347,649,2025-05-23,6857
42,650,2021-01-06,8434
574,651,2025-09-06,5868
8,652,2018-01-15,11539
294,653,2022-02-18,5122
563,654,2020-02-09,11425
361,655,2021-03-21,9100
33,656,2016-03-01,6390
264,657,2023-07-03,7401
199,658,2024-12-14,11291
139,659,2018-05-23,8237
191,660,2017-10-26,11752
125,661,2020-05-19,9792
39,662,2024-11-07,8149
392,663,2022-03-08,7886
467,664,2018-11-29,8263
484,665,2016-03-22,8186
454,666,2023-08-26,10592
366,667,2016-09-28,8579
122,668,2018-10-04,9735
374,669,2023-10-25,11132
146,670,2017-01-01,7636
57,671,2024-04-01,5945
417,672,2026-01-12,7442
149,673,2020-05-09,5595
5,674,2021-05-21,5079
223,675,2018-03-20,7981
48,676,2025-02-13,10314
536,677,2024-08-06,7113
161,678,2019-03-01,11951
217,679,2023-11-18,11128
116,680,2022-12-14,9408
228,681,2022-06-25,6121
296,682,2022-01-28,7398
516,683,2016-09-27,6805
25,684,2016-02-11,7469
110,685,2024-04-13,8482
77,686,2025-02-16,5126
324,687,2025-08-15,6872
48,688,2017-08-26,5826
378,689,2026-03-22,5583
387,690,2021-05-04,10895
374,691,2024-07-24,11615
564,692,2020-05-08,10720
298,693,2020-07-13,10840
251,694,2018-08-04,10470
338,695,2018-08-11,7538
564,696,2017-01-06,5765
4,697,2019-08-27,5139
122,698,2025-11-15,11234
283,699,2026-03-24,9085
431,700,2018-11-29,11297
160,701,2021-07-02,9141
600,702,2024-10-29,8477
126,703,2019-08-03,8870
253,704,2022-03-10,7760
329,705,2024-05-07,11266
114,706,2017-07-14,9472
79,707,2026-02-27,8678
505,708,2019-09-11,11612
101,709,2017-07-02,6918
382,710,2024-07-30,9610
510,711,2021-09-06,5806
350,712,2020-01-23,7126
159,713,2020-03-21,11996
47,714,2024-07-19,10500
473,715,2017-10-20,6860
393,716,2016-03-18,6257
303,717,2024-10-27,7397
446,718,2024-07-03,11046
379,719,2024-08-26,7295
433,720,2024-09-01,8789
480,721,2017-08-01,5300
367,722,2016-09-21,8617
105,723,2016-04-21,8773
209,724,2016-09-07,11774
513,725,2021-03-14,6003
371,726,2020-04-22,11598
270,727,2024-06-18,10343
493,728,2021-12-17,10252
236,729,2021-05-24,10444
63,730,2018-06-05,5800
499,731,2019-07-26,7514
234,732,2021-12-11,5130
191,733,2025-12-18,8623
304,734,2025-03-18,5597
309,735,2021-08-23,11935
333,736,2023-11-30,8760
186,737,2020-04-19,5408
166,738,2022-04-23,6415
341,739,2018-11-29,11312
404,740,2023-09-07,9326
413,741,2017-08-27,8693
191,742,2022-03-23,9228
308,743,2016-07-06,8675
427,744,2020-10-21,7053
140,745,2016-02-12,8648
387,746,2023-08-30,6694
148,747,2021-05-12,5553
212,748,2019-10-17,6705
562,749,2026-04-29,8284
488,750,2020-09-06,10665
142,751,2020-01-06,9945
129,752,2018-06-11,9333
442,753,2024-02-05,9128
487,754,2022-10-23,5426
417,755,2026-01-17,10503
31,756,2024-12-09,7156
530,757,2026-04-20,9287
403,758,2022-08-19,10565
240,759,2017-12-23,5471
343,760,2024-09-30,8035
241,761,2018-11-29,5049
356,762,2024-11-02,5208
538,763,2025-05-10,9947
149,764,2021-04-26,6638
592,765,2020-09-08,11080
86,766,2026-02-23,7681
461,767,2020-10-23,7108
10,768,2019-07-11,6571
330,769,2020-08-12,8688
60,770,2024-04-05,8880
513,771,2022-09-04,8795
512,772,2023-12-20,7777
353,773,2018-11-09,6300
447,774,2025-07-15,5630
29,775,2018-09-15,11808
540,776,2018-11-29,6205
186,777,2021-05-07,6720
413,778,2024-05-28,11859
134,779,2021-02-08,10969
212,780,2018-01-08,5488
181,781,2017-12-19,10271
151,782,2021-05-28,5846
109,783,2024-07-16,5614
476,784,2025-04-23,8039
502,785,2020-10-10,9970
124,786,2021-07-07,5873
434,787,2017-11-04,5468
302,788,2017-10-07,10052
557,789,2020-03-03,5934
296,790,2019-01-03,11857
566,791,2020-07-13,9727
567,792,2018-08-11,5265
384,793,2017-12-20,5848
436,794,2022-06-27,5064
213,795,2022-07-22,11606
184,796,2018-02-05,5242
185,797,2024-05-17,8385
583,798,2024-11-29,9502
15,799,2017-01-26,7180
189,800,2023-08-11,8256
276,801,2021-07-22,11789
80,802,2016-09-05,8459
560,803,2016-04-13,5585
462,804,2021-03-17,11221
20,805,2026-05-02,6769
83,806,2020-06-26,6589
457,807,2025-12-12,11377
41,808,2025-12-16,7805
12,809,2016-05-14,7385
598,810,2018-03-23,6709
190,811,2020-08-19,11841
470,812,2018-01-21,7079
287,813,2020-03-23,9731
230,814,2025-07-25,5926
452,815,2017-10-16,9613
286,816,2024-10-10,8633
444,817,2018-09-16,9548
6,818,2022-01-20,6821
577,819,2016-05-13,11073
408,820,2024-06-24,7663
267,821,2016-09-06,6280
359,822,2022-11-27,10968
564,823,2019-08-24,5890
225,824,2024-04-11,9953
231,825,2017-06-05,8784
162,826,2024-07-02,9040
185,827,2022-01-24,5712
164,828,2026-01-13,9690
121,829,2025-03-21,8175
228,830,2019-11-26,10342
49,831,2019-05-07,11327
577,832,2025-02-28,8516
61,833,2017-05-28,11803
441,834,2024-01-22,8438
464,835,2020-06-06,10291
340,836,2025-03-29,6406
465,837,2025-09-04,6361
567,838,2023-03-24,7488
365,839,2018-04-21,9817
501,840,2018-12-20,10107
383,841,2016-04-05,8708
1,842,2021-09-02,9473
446,843,2019-05-19,11685
3,844,2020-09-10,11129
508,845,2020-01-28,11172
423,846,2025-06-29,5177
174,847,2016-07-01,9469
11,848,2023-06-17,10856
106,849,2022-05-03,11900
176,850,2022-09-03,5380
170,851,2018-02-01,11321
80,852,2026-02-20,8042
307,853,2025-11-22,11667
244,854,2022-12-13,5266
287,855,2018-11-27,9441
587,856,2026-04-01,5283
599,857,2018-07-11,6420
161,858,2019-11-28,6576
254,859,2018-04-24,6419
7,860,2017-11-18,7004
367,861,2016-10-02,5333
158,862,2025-01-29,8065
340,863,2019-11-10,11991
61,864,2017-04-09,10064
232,865,2019-10-14,7323
337,866,2024-12-05,10881
35,867,2018-07-14,8316
595,868,2021-08-27,11661
568,869,2025-01-24,9589
292,870,2023-10-18,11417
214,871,2022-12-30,6586
252,872,2018-02-28,6328
302,873,2025-07-12,7017
404,874,2026-04-22,6337
437,875,2017-06-25,5059
551,876,2016-04-19,7841
578,877,2024-05-16,11065
552,878,2023-03-27,6888
126,879,2017-06-01,11812
276,880,2024-06-09,7213
93,881,2017-10-24,9749
59,882,2020-12-24,11390
342,883,2024-06-04,9902
403,884,2019-07-06,10011
138,885,2016-08-19,5965
147,886,2018-09-21,9066
412,887,2018-03-22,5616
493,888,2021-02-26,7531
381,889,2019-02-12,6311
68,890,2026-03-01,5121
394,891,2018-01-16,9876
275,892,2023-03-10,5761
580,893,2018-04-12,8671
351,894,2022-12-23,11527
101,895,2022-07-28,6084
186,896,2020-06-08,8656
78,897,2023-11-19,6876
103,898,2021-05-26,8050
238,899,2024-02-07,8283
132,900,2020-09-30,7245
485,901,2019-07-28,6238
521,902,2023-01-22,8265
258,903,2020-04-18,5842
146,904,2023-11-12,5208
436,905,2017-05-08,8674
235,906,2016-04-18,5036
585,907,2022-08-26,6297
546,908,2026-02-13,7200
323,909,2025-10-22,6125
277,910,2016-09-07,6565
171,911,2023-11-28,5867
65,912,2019-12-20,10661
236,913,2025-08-23,7718
364,914,2016-02-10,7603
97,915,2019-01-14,6719
143,916,2017-02-15,9766
108,917,2019-05-11,6947
51,918,2021-10-20,11974
453,919,2021-06-10,9843
473,920,2023-02-25,6144
268,921,2021-03-24,9959
130,922,2020-03-13,10672
258,923,2025-08-23,6075
158,924,2017-01-17,9110
559,925,2018-08-25,10801
261,926,2023-01-17,11536
330,927,2023-11-08,9421
113,928,2022-08-16,6477
8,929,2019-05-24,11321
556,930,2021-06-01,9035
43,931,2020-11-02,9036
392,932,2025-04-20,9706
204,933,2018-05-05,6920
175,934,2022-08-09,9829
572,935,2020-10-27,7902
98,936,2020-01-06,10058
59,937,2017-11-10,7787
479,938,2024-01-13,9447
297,939,2020-11-09,7252
59,940,2025-11-27,9257
342,941,2023-02-20,9124
368,942,2024-03-30,9319
544,943,2018-02-25,11795
555,944,2017-12-04,11347
329,945,2023-11-05,8581
490,946,2017-07-06,8313
177,947,2016-03-14,11059
521,948,2018-12-26,8259
494,949,2017-05-28,10394
599,950,2024-09-25,6378
372,951,2019-06-03,6775
327,952,2024-04-07,8057
83,953,2024-10-23,9797
402,954,2017-11-22,9550
163,955,2017-12-08,6503
359,956,2016-02-05,11184
109,957,2021-12-24,6502
362,958,2024-03-06,11519
416,959,2017-11-19,11200
308,960,2021-01-05,6409
566,961,2020-08-11,6545
258,962,2025-11-16,6476
14,963,2017-01-06,11972
174,964,2024-11-21,6331
252,965,2026-05-04,7240
90,966,2019-03-23,9667
588,967,2017-12-17,9866
12,968,2024-11-01,5110
428,969,2020-06-03,6394
455,970,2016-06-11,6100
420,971,2020-06-20,5002
269,972,2026-04-20,11807
351,973,2025-04-14,11874
54,974,2022-07-06,7959
441,975,2018-03-06,6516
69,976,2021-05-08,11848
292,977,2023-04-04,5322
20,978,2024-01-16,6897
77,979,2016-07-23,11040
87,980,2022-06-12,6799
252,981,2020-02-27,11250
206,982,2022-01-15,10072
182,983,2017-07-04,6313
306,984,2025-05-18,8798
96,985,2016-12-21,9848
228,986,2020-04-14,11981
6,987,2023-10-17,5383
430,988,2016-03-28,9332
148,989,2021-03-04,8980
39,990,2019-08-05,8276
288,991,2020-06-27,5908
429,992,2025-04-26,11885
57,993,2021-04-25,8571
133,994,2020-05-20,7305
224,995,2023-12-12,9306
363,996,2016-02-12,5120
587,997,2019-08-26,6869
