listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
11,"Entire home/apt in KLCC, Kuala Lumpur",1011,2015-06-08,Kuala Lumpur,a few days or more,93,84,False,6,True,True,KLCC,Central,Kuala Lumpur,3.125237,101.69017,Condominium,Entire home/apt,2,1,Pool|Free parking|Washer|Heating|Wifi|Workspace|Air conditioning|TV|Kitchen|Gym,185.04,1,90,4.76,4.55,4.94,4.69,4.61,4.72,4.72,True
12,"Entire home/apt in Malate, Manila",1012,2022-12-13,Manila,within a day,92,76,False,6,True,True,Malate,North,Manila,14.586828,120.995588,Apartment,Entire home/apt,4,2,Pool|Gym|Air conditioning|Workspace|TV|Elevator,187.01,7,90,4.73,4.71,4.45,4.86,4.72,4.88,4.42,False
13,"Entire home/apt in Senayan, Jakarta",1013,2021-07-03,Jakarta,within a few hours,93,69,False,4,True,True,Senayan,East,Jakarta,-6.203323,106.807768,Apartment,Entire home/apt,4,2,TV|Elevator|Kitchen|Air conditioning|Free parking|Iron,196.64,1,30,4.39,4.11,4.58,4.5,4.57,4.36,4.43,False
14,"Entire home/apt in Kemang, Jakarta",1014,2024-08-25,Jakarta,a few days or more,92,83,False,9,True,True,Kemang,South,Jakarta,-6.230762,106.821163,Loft,Entire home/apt,1,1,Workspace|TV|Elevator|Wifi|Washer,182.1,2,365,4.85,4.86,4.88,4.9,5.0,4.88,4.9,False
15,"Private room in Kemang, Jakarta",1015,2020-11-05,Jakarta,within an hour,76,76,False,6,True,True,Kemang,South,Jakarta,-6.223891,106.828039,House,Private room,5,2,Washer|Free parking|Pool|Heating|Air conditioning|Elevator|Gym,156.12,2,365,3.62,3.35,3.72,3.61,3.8,3.89,3.23,False
16,"Entire home/apt in BGC, Manila",1016,2019-05-17,Manila,within an hour,75,87,False,10,True,False,BGC,Central,Manila,14.584812,120.970461,Loft,Entire home/apt,6,3,Heating|Washer|Elevator|Iron|Free parking|TV|Gym|Wifi|Pool|Air conditioning|Kitchen,223.42,1,365,4.5,4.27,4.38,4.33,4.49,4.33,4.26,False
17,"Entire home/apt in Kemang, Jakarta",1017,2023-05-27,Jakarta,within a few hours,80,92,False,2,True,False,Kemang,South,Jakarta,-6.231974,106.821391,Loft,Entire home/apt,2,1,Iron|Wifi|Workspace|Washer,164.87,1,365,3.56,3.61,3.62,3.44,3.66,3.71,3.22,False
18,"Entire home/apt in Bukit Bintang, Kuala Lumpur",1018,2025-03-08,Kuala Lumpur,within an hour,100,86,False,13,True,True,Bukit Bintang,Central,Kuala Lumpur,3.145304,101.672777,Serviced apartment,Entire home/apt,5,2,Heating|Iron|Washer|Air conditioning,235.67,2,1125,4.45,4.36,4.27,4.5,4.42,4.66,4.46,True
19,"Private room in Bangsar, Kuala Lumpur",1019,2020-11-07,Kuala Lumpur,within a day,51,81,False,14,True,True,Bangsar,West,Kuala Lumpur,3.149497,101.6761,Loft,Private room,7,4,Elevator|Workspace|Gym|Free parking|Pool|Heating|Air conditioning|Wifi|Kitchen|Iron|TV,179.69,1,365,4.55,4.36,4.63,4.52,4.79,4.67,4.29,True
20,"Private room in Sukhumvit, Bangkok",1020,2017-09-11,Bangkok,within a day,80,85,False,9,True,True,Sukhumvit,West,Bangkok,13.748321,100.463867,Condominium,Private room,8,4,Air conditioning|Free parking|Washer,231.53,2,1125,3.93,3.8,3.95,3.87,3.86,3.7,3.63,True
21,"Entire home/apt in Malate, Manila",1021,2021-08-11,Manila,within a day,52,53,False,9,True,True,Malate,West,Manila,14.578361,120.998394,Condominium,Entire home/apt,8,4,Washer|Free parking|Workspace|Pool,281.21,7,60,3.52,3.54,3.57,3.37,3.33,3.39,3.36,True
22,"Entire home/apt in Katong, Singapore",1022,2015-10-31,Singapore,a few days or more,69,86,False,10,True,True,Katong,Central,Singapore,1.367593,103.827743,Loft,Entire home/apt,2,1,Free parking|Air conditioning|Washer|Iron|Gym|Workspace|Elevator|Pool|TV|Kitchen|Heating|Wifi,161.04,3,30,4.84,5.0,4.56,4.75,4.97,4.63,4.53,True
23,"Private room in Jurong East, Singapore",1023,2017-08-06,Singapore,within a day,59,54,False,1,True,True,Jurong East,East,Singapore,1.36627,103.81013,Loft,Private room,8,4,Iron|Washer|Free parking|Workspace,192.02,2,1125,3.97,4.04,3.91,3.91,3.83,4.08,3.92,False
24,"Entire home/apt in Malate, Manila",1024,2023-03-28,Manila,within a day,92,56,False,14,True,True,Malate,East,Manila,14.583831,120.996884,Loft,Entire home/apt,1,1,Heating|Wifi|Free parking|Iron|Kitchen|Washer|Workspace|Gym|Elevator|TV|Air conditioning|Pool,181.92,2,365,4.94,4.99,4.71,5.0,5.0,4.97,4.77,True
25,"Private room in Bukit Bintang, Kuala Lumpur",1025,2021-01-31,Kuala Lumpur,within a few hours,69,85,False,1,True,True,Bukit Bintang,South,Kuala Lumpur,3.149245,101.674157,Loft,Private room,1,1,Elevator|Iron|Workspace|Wifi|Washer|Kitchen|Free parking|Air conditioning|Gym|Pool|Heating|TV,104.17,2,30,3.25,3.06,3.35,3.11,3.52,3.34,2.93,False
26,"Entire home/apt in Bangsar, Kuala Lumpur",1026,2017-09-25,Kuala Lumpur,within a day,85,98,False,9,True,True,Bangsar,North,Kuala Lumpur,3.148018,101.673894,House,Entire home/apt,8,4,TV|Kitchen|Air conditioning|Free parking|Gym|Iron|Workspace|Elevator|Wifi|Heating|Pool|Washer,294.91,2,90,4.76,4.89,4.95,4.68,4.75,4.97,4.57,True
27,"Entire home/apt in Senayan, Jakarta",1027,2015-06-01,Jakarta,within a few hours,54,80,True,13,True,False,Senayan,West,Jakarta,-6.209024,106.817099,Loft,Entire home/apt,3,2,Elevator|Air conditioning|TV|Workspace,194.24,2,1125,3.23,3.28,3.22,3.46,3.46,3.45,3.02,True
28,"Private room in Senayan, Jakarta",1028,2025-04-30,Jakarta,within an hour,68,72,False,6,True,True,Senayan,North,Jakarta,-6.199913,106.807199,Apartment,Private room,4,2,Iron|Air conditioning|Elevator|Kitchen,142.71,1,60,4.45,4.42,4.39,4.65,4.33,4.2,4.49,False
29,"Entire home/apt in Chinatown, Bangkok",1029,2020-02-26,Bangkok,a few days or more,69,62,False,7,True,True,Chinatown,North,Bangkok,13.793712,100.530824,Serviced apartment,Entire home/apt,8,4,Iron|TV|Kitchen|Air conditioning|Elevator|Heating|Free parking,301.08,1,60,3.74,3.63,3.56,3.69,3.89,3.45,3.76,True
30,"Private room in Orchard, Singapore",1030,2025-02-15,Singapore,within a few hours,55,68,False,6,True,True,Orchard,North,Singapore,1.365879,103.816873,Apartment,Private room,8,4,Washer|Iron|Workspace|Free parking|Kitchen|Pool|Wifi|Gym,221.81,1,60,3.76,3.53,3.68,4.05,3.83,4.01,3.78,True
31,"Private room in Kemang, Jakarta",1031,2016-07-30,Jakarta,a few days or more,90,73,False,2,True,True,Kemang,East,Jakarta,-6.22323,106.822708,House,Private room,8,4,TV|Pool|Air conditioning|Gym|Wifi|Kitchen|Free parking|Elevator|Washer,228.96,2,30,3.86,3.87,4.03,3.82,3.97,3.95,3.78,True
32,"Entire home/apt in Bangsar, Kuala Lumpur",1032,2018-05-31,Kuala Lumpur,within a day,52,94,False,6,True,True,Bangsar,East,Kuala Lumpur,3.150047,101.679351,Loft,Entire home/apt,1,1,Kitchen|Gym|Elevator|Pool|Iron|Free parking|TV|Air conditioning|Washer|Workspace|Wifi,185.04,2,365,4.7,4.88,4.81,4.55,4.84,4.73,4.79,True
33,"Shared room in Kemang, Jakarta",1033,2017-05-18,Jakarta,within a few hours,100,88,False,1,True,True,Kemang,West,Jakarta,-6.222462,106.822358,Condominium,Shared room,8,4,Washer|Kitchen|Heating|Workspace|Air conditioning|Gym|Free parking|Elevator,176.04,1,60,4.26,4.23,4.34,4.11,4.49,4.04,4.04,False
34,"Entire home/apt in BGC, Manila",1034,2019-09-21,Manila,a few days or more,75,77,False,11,True,True,BGC,Central,Manila,14.582446,120.9598,Apartment,Entire home/apt,1,1,TV|Heating|Air conditioning|Elevator|Washer|Free parking|Wifi|Gym,139.97,2,365,3.74,3.48,3.39,3.84,3.57,3.61,3.66,False
35,"Entire home/apt in KLCC, Kuala Lumpur",1035,2019-10-29,Kuala Lumpur,within a few hours,93,80,True,2,True,True,KLCC,Central,Kuala Lumpur,3.117385,101.689879,Serviced apartment,Entire home/apt,8,4,Workspace|Washer|Gym|Elevator|Iron|TV|Kitchen|Heating|Free parking|Air conditioning|Wifi,293.81,1,30,3.76,3.68,3.81,3.75,3.63,3.5,3.84,False
36,"Private room in Jurong East, Singapore",1036,2023-02-01,Singapore,within a day,57,98,True,5,True,True,Jurong East,South,Singapore,1.362427,103.803657,House,Private room,7,4,Heating|TV|Washer|Kitchen,217.75,1,365,4.38,4.5,4.56,4.59,4.49,4.47,3.99,False
37,"Entire home/apt in Bukit Bintang, Kuala Lumpur",1037,2018-12-08,Kuala Lumpur,within an hour,53,59,True,3,True,False,Bukit Bintang,South,Kuala Lumpur,3.145425,101.668458,Condominium,Entire home/apt,5,2,Air conditioning|Kitchen|Wifi|Workspace|Washer|Elevator|Gym|Pool|Iron,254.68,1,30,3.48,3.32,3.48,3.52,3.5,3.34,3.46,True
38,"Private room in Menteng, Jakarta",1038,2018-06-17,Jakarta,within an hour,50,81,True,12,True,True,Menteng,North,Jakarta,-6.219918,106.827752,House,Private room,8,4,Washer|Free parking|Workspace,204.98,1,60,4.58,4.47,4.6,4.63,4.8,4.76,4.22,False
39,"Entire home/apt in Jurong East, Singapore",1039,2021-06-16,Singapore,a few days or more,56,65,False,7,True,True,Jurong East,South,Singapore,1.368011,103.806701,Apartment,Entire home/apt,2,1,Air conditioning|Gym|Wifi|Pool|Kitchen|Iron|Free parking,186.42,2,1125,4.03,3.77,4.15,4.2,3.94,4.2,3.67,False
40,"Private room in Malate, Manila",1040,2024-03-08,Manila,a few days or more,93,86,False,11,True,True,Malate,South,Manila,14.587245,121.001103,Condominium,Private room,6,3,Washer|Kitchen|Heating|Iron|Air conditioning|Elevator|Pool,186.31,2,90,4.09,3.87,3.73,4.11,4.04,3.95,3.72,False
41,"Entire home/apt in KLCC, Kuala Lumpur",1041,2015-11-11,Kuala Lumpur,within a day,95,55,False,9,True,False,KLCC,East,Kuala Lumpur,3.119041,101.696552,Loft,Entire home/apt,6,3,TV|Gym|Elevator|Workspace|Wifi|Washer|Free parking|Air conditioning|Kitchen|Iron|Pool|Heating,252.74,1,60,4.92,4.97,5.0,4.98,5.0,4.84,4.98,True
42,"Entire home/apt in Bangsar, Kuala Lumpur",1042,2016-01-23,Kuala Lumpur,within a few hours,92,94,False,14,True,True,Bangsar,South,Kuala Lumpur,3.150381,101.672024,Serviced apartment,Entire home/apt,6,3,Kitchen|Pool|Air conditioning|Workspace|Iron|TV|Elevator|Washer|Heating|Gym|Wifi|Free parking,235.63,1,365,4.21,4.16,3.82,4.16,4.49,4.12,4.19,True
43,"Entire home/apt in Silom, Bangkok",1043,2021-01-19,Bangkok,a few days or more,73,93,False,12,True,False,Silom,East,Bangkok,13.769491,100.462409,Apartment,Entire home/apt,2,1,Heating|Kitchen|Workspace|Gym|Iron|Air conditioning|TV|Free parking,166.92,2,1125,4.66,4.5,4.71,4.68,4.73,4.55,4.66,True
44,"Shared room in Thonglor, Bangkok",1044,2023-09-23,Bangkok,within an hour,68,55,False,13,True,True,Thonglor,East,Bangkok,13.757306,100.552403,Serviced apartment,Shared room,8,4,Heating|Kitchen|Free parking|Wifi|Elevator|Gym,213.32,2,365,3.87,4.02,3.56,3.89,4.14,3.7,3.7,True
45,"Entire home/apt in Jurong East, Singapore",1045,2015-12-01,Singapore,within a day,63,59,False,9,True,True,Jurong East,South,Singapore,1.359799,103.803309,Apartment,Entire home/apt,6,3,Kitchen|Workspace|Wifi|Free parking|Elevator|Pool|Air conditioning|Washer,219.97,3,365,4.01,3.77,3.78,3.96,3.83,3.96,4.01,True
46,"Entire home/apt in Jurong East, Singapore",1046,2018-04-08,Singapore,within a day,66,97,False,1,True,True,Jurong East,West,Singapore,1.365377,103.809986,Serviced apartment,Entire home/apt,4,2,Kitchen|Iron|Air conditioning|TV|Pool|Wifi|Free parking|Elevator|Gym,237.52,1,90,3.9,3.72,3.89,3.75,3.99,4.05,3.57,True
47,"Private room in Bangsar, Kuala Lumpur",1047,2020-05-14,Kuala Lumpur,within a day,72,99,False,1,True,False,Bangsar,West,Kuala Lumpur,3.143099,101.675845,Condominium,Private room,8,4,Wifi|Free parking|Washer|Workspace|Heating|TV|Kitchen|Pool|Elevator|Iron,254.95,2,30,4.05,4.15,3.91,4.05,4.07,4.32,3.82,True
48,"Entire home/apt in Kemang, Jakarta",1048,2015-11-20,Jakarta,within a day,78,52,False,12,True,False,Kemang,West,Jakarta,-6.227105,106.82784,Serviced apartment,Entire home/apt,2,1,Pool|Air conditioning|Iron|Workspace|Free parking|Kitchen|Washer,203.99,3,365,4.28,4.12,4.47,4.55,4.12,4.36,4.06,False
49,"Private room in Sukhumvit, Bangkok",1049,2015-10-03,Bangkok,within an hour,97,61,False,8,True,True,Sukhumvit,South,Bangkok,13.748745,100.467426,Condominium,Private room,8,4,Wifi|Heating|Kitchen|Elevator|Pool|Iron|Washer|Workspace|Air conditioning|Gym|TV|Free parking,202.91,2,1125,3.77,3.53,3.83,3.92,3.68,3.84,3.72,False
50,"Private room in Sukhumvit, Bangkok",1050,2022-12-31,Bangkok,within a few hours,100,58,False,4,True,True,Sukhumvit,North,Bangkok,13.751506,100.457356,Condominium,Private room,8,4,Iron|Pool|Air conditioning|TV|Free parking|Kitchen|Heating|Workspace,210.5,1,90,4.63,4.61,4.45,4.83,4.71,4.7,4.27,True
51,"Private room in Senayan, Jakarta",1051,2018-07-22,Jakarta,within a few hours,70,95,False,4,True,True,Senayan,West,Jakarta,-6.204537,106.810297,Loft,Private room,2,1,Kitchen|TV|Heating|Workspace|Iron|Washer|Free parking|Wifi,80.89,3,90,4.7,4.82,4.45,4.82,4.78,4.48,4.45,False
52,"Private room in Malate, Manila",1052,2022-01-01,Manila,within a day,80,65,False,13,True,True,Malate,North,Manila,14.584738,120.999687,Condominium,Private room,3,2,Wifi|Workspace|Air conditioning|Iron|Free parking|Pool|Heating|Elevator|Washer|Kitchen|TV|Gym,136.42,2,365,4.8,4.54,4.44,4.82,4.84,4.62,4.7,True
53,"Shared room in Bangsar, Kuala Lumpur",1053,2020-10-10,Kuala Lumpur,within a few hours,70,86,False,12,True,True,Bangsar,West,Kuala Lumpur,3.147677,101.679634,House,Shared room,3,2,Elevator|Washer|Kitchen|Air conditioning|Wifi|Heating|Iron,113.84,1,60,4.76,4.71,4.67,4.81,4.71,4.47,4.83,False
54,"Entire home/apt in Silom, Bangkok",1054,2021-09-13,Bangkok,within a day,54,74,False,9,True,True,Silom,North,Bangkok,13.774247,100.461507,Serviced apartment,Entire home/apt,1,1,Wifi|Air conditioning|Gym|Kitchen|Free parking|Pool|TV|Washer|Heating|Workspace|Iron,173.47,3,90,3.29,3.4,3.26,3.4,3.15,3.05,3.08,False
55,"Entire home/apt in BGC, Manila",1055,2015-07-05,Manila,a few days or more,95,86,True,5,True,True,BGC,North,Manila,14.580814,120.965543,Condominium,Entire home/apt,7,4,Elevator|Kitchen|Heating|TV|Iron|Workspace|Free parking|Gym|Air conditioning|Washer|Pool,287.5,1,90,4.27,4.14,3.94,4.28,4.22,4.51,4.31,False
56,"Shared room in BGC, Manila",1056,2021-07-18,Manila,a few days or more,97,96,False,1,True,True,BGC,East,Manila,14.579682,120.961873,House,Shared room,4,2,Kitchen|Iron|Washer|Wifi|Air conditioning|Elevator|TV|Heating|Workspace,117.68,3,60,3.95,3.93,4.15,3.99,3.94,4.22,3.78,False
57,"Private room in BGC, Manila",1057,2018-02-16,Manila,within an hour,86,93,False,9,False,True,BGC,North,Manila,14.584271,120.962708,House,Private room,4,2,Free parking|Washer|Elevator|Pool|Heating|Kitchen|Workspace,160.65,2,90,4.88,5.0,4.96,4.83,4.82,5.0,4.65,True
58,"Entire home/apt in Bangsar, Kuala Lumpur",1058,2022-10-22,Kuala Lumpur,within a few hours,50,85,False,15,True,True,Bangsar,East,Kuala Lumpur,3.146623,101.673751,Loft,Entire home/apt,5,2,Washer|Wifi|TV|Workspace|Heating|Iron,230.32,2,365,3.38,3.32,3.1,3.66,3.34,3.47,3.43,True
59,"Private room in Makati, Manila",1059,2016-12-18,Manila,within an hour,50,69,False,10,True,False,Makati,South,Manila,14.573291,120.984283,Serviced apartment,Private room,1,1,Gym|Elevator|Kitchen,143.23,1,90,4.89,4.73,5.0,4.96,4.94,5.0,4.92,True
60,"Entire home/apt in Sukhumvit, Bangkok",1060,2023-01-22,Bangkok,within an hour,66,74,True,4,True,True,Sukhumvit,North,Bangkok,13.75113,100.46713,House,Entire home/apt,8,4,Iron|Washer|Kitchen|Gym|TV|Free parking|Heating|Wifi|Workspace|Pool|Elevator|Air conditioning,276.66,2,90,4.97,4.82,5.0,4.78,5.0,5.0,4.6,True
61,"Private room in Bukit Bintang, Kuala Lumpur",1061,2022-03-01,Kuala Lumpur,within a few hours,98,65,False,11,True,True,Bukit Bintang,South,Kuala Lumpur,3.152639,101.673654,Loft,Private room,5,2,Kitchen|Elevator|Workspace|Iron|Pool|Washer,151.97,1,1125,4.46,4.38,4.48,4.3,4.54,4.2,4.33,False
62,"Entire home/apt in Malate, Manila",1062,2017-04-21,Manila,within an hour,97,63,False,10,True,True,Malate,Central,Manila,14.586871,120.996735,Condominium,Entire home/apt,8,4,Wifi|Elevator|Kitchen|TV|Gym|Washer|Free parking|Workspace|Iron|Heating,272.39,1,365,4.65,4.52,4.29,4.95,4.92,4.39,4.72,True
63,"Private room in Menteng, Jakarta",1063,2024-12-29,Jakarta,within an hour,98,51,False,5,True,False,Menteng,North,Jakarta,-6.220354,106.82695,Condominium,Private room,7,4,Air conditioning|Iron|TV|Kitchen|Pool|Wifi|Workspace|Free parking|Washer,215.6,7,1125,4.15,4.06,3.98,4.06,4.18,3.94,3.84,False
64,"Private room in Bugis, Singapore",1064,2015-10-03,Singapore,within an hour,58,82,True,5,True,True,Bugis,East,Singapore,1.392068,103.838012,Loft,Private room,1,1,Washer|Wifi|Gym,81.24,7,1125,3.99,3.85,3.95,4.13,3.95,3.87,3.66,False
65,"Entire home/apt in Chinatown, Bangkok",1065,2019-10-16,Bangkok,within a few hours,79,53,False,9,True,True,Chinatown,North,Bangkok,13.784872,100.53283,House,Entire home/apt,3,2,TV|Pool|Gym|Heating|Kitchen|Elevator|Washer|Air conditioning|Iron,201.43,2,1125,3.63,3.59,3.46,3.56,3.6,3.38,3.45,True
66,"Entire home/apt in Malate, Manila",1066,2021-10-05,Manila,within a few hours,75,65,True,9,True,True,Malate,West,Manila,14.587243,121.002957,Condominium,Entire home/apt,7,4,Workspace|Iron|TV|Washer|Elevator|Air conditioning|Kitchen|Pool|Wifi|Heating|Free parking|Gym,297.05,2,365,4.54,4.47,4.53,4.49,4.52,4.77,4.37,False
67,"Entire home/apt in Kemang, Jakarta",1067,2024-09-09,Jakarta,a few days or more,79,60,False,12,True,True,Kemang,West,Jakarta,-6.226355,106.828245,Condominium,Entire home/apt,7,4,Heating|Gym|Free parking|Kitchen|Washer|TV|Air conditioning|Elevator|Pool|Workspace|Iron|Wifi,262.51,1,60,4.57,4.63,4.46,4.83,4.64,4.66,4.2,True
68,"Entire home/apt in Bugis, Singapore",1068,2016-09-10,Singapore,a few days or more,61,56,True,15,True,True,Bugis,Central,Singapore,1.389031,103.834986,Apartment,Entire home/apt,4,2,Iron|Workspace|Heating|Elevator|TV|Wifi|Gym|Free parking|Washer|Pool|Kitchen|Air conditioning,176.74,3,60,4.16,3.98,4.13,4.09,4.14,4.34,3.8,False
69,"Shared room in Senayan, Jakarta",1069,2024-04-14,Jakarta,within a few hours,55,81,False,14,True,True,Senayan,North,Jakarta,-6.205042,106.814288,Condominium,Shared room,4,2,Air conditioning|Gym|Iron,119.5,7,90,3.88,3.86,3.99,3.73,3.94,3.61,3.59,False
70,"Entire home/apt in BGC, Manila",1070,2018-02-22,Manila,within a day,74,98,False,12,True,True,BGC,East,Manila,14.581527,120.96962,House,Entire home/apt,2,1,Wifi|Washer|Heating|Kitchen|Gym|Workspace|TV|Air conditioning,176.64,7,30,4.22,4.17,4.4,4.05,4.24,4.42,3.99,False
71,"Entire home/apt in BGC, Manila",1071,2020-01-20,Manila,within a few hours,97,74,False,6,True,True,BGC,West,Manila,14.575711,120.961277,House,Entire home/apt,5,2,Kitchen|Iron|Heating|Gym|Air conditioning|TV|Free parking|Workspace|Elevator,222.1,1,30,4.48,4.18,4.26,4.46,4.41,4.26,4.17,True
72,"Entire home/apt in Malate, Manila",1072,2016-01-17,Manila,within a few hours,86,83,False,3,True,True,Malate,North,Manila,14.586889,120.998699,Loft,Entire home/apt,2,1,Free parking|Gym|Iron,158.47,1,60,4.6,4.43,4.36,4.47,4.48,4.47,4.35,False
73,"Private room in KLCC, Kuala Lumpur",1073,2017-03-11,Kuala Lumpur,a few days or more,70,61,False,7,True,True,KLCC,West,Kuala Lumpur,3.120873,101.695164,Condominium,Private room,8,4,Pool|Heating|Gym|Workspace|Elevator|Kitchen|Washer|Free parking|Air conditioning,233.66,2,365,3.74,3.92,3.81,3.7,3.68,3.91,3.52,False
74,"Entire home/apt in Silom, Bangkok",1074,2017-05-08,Bangkok,a few days or more,87,75,False,9,True,True,Silom,South,Bangkok,13.768393,100.469045,Serviced apartment,Entire home/apt,8,4,Iron|Elevator|Kitchen|Free parking|Washer|Heating|Pool|Air conditioning|Workspace,317.86,7,365,4.62,4.59,4.69,4.6,4.87,4.64,4.54,True
75,"Private room in Thonglor, Bangkok",1075,2022-03-27,Bangkok,within a few hours,72,51,False,8,True,True,Thonglor,Central,Bangkok,13.750788,100.553135,Condominium,Private room,1,1,Air conditioning|Wifi|Workspace|Free parking|Washer|TV|Pool|Gym|Heating,123.98,2,365,4.0,4.16,3.65,4.22,4.17,3.91,3.77,False
76,"Entire home/apt in BGC, Manila",1076,2020-01-28,Manila,within a few hours,71,85,False,7,True,True,BGC,North,Manila,14.583612,120.965618,House,Entire home/apt,8,4,Wifi|Pool|Air conditioning|Kitchen,280.71,1,365,4.87,4.88,4.58,5.0,4.87,5.0,4.91,True
77,"Private room in Kemang, Jakarta",1077,2022-11-22,Jakarta,a few days or more,89,61,False,14,True,True,Kemang,West,Jakarta,-6.225174,106.823738,Apartment,Private room,4,2,Kitchen|Pool|Iron|Washer|Elevator|Wifi|Workspace|TV|Heating|Free parking|Air conditioning,123.31,3,1125,4.3,4.04,3.98,4.16,4.25,4.11,4.25,False
78,"Private room in Senayan, Jakarta",1078,2022-02-16,Jakarta,within a day,50,81,False,3,True,False,Senayan,East,Jakarta,-6.20065,106.81408,Condominium,Private room,7,4,TV|Kitchen|Elevator|Free parking|Iron,205.22,2,1125,3.54,3.49,3.44,3.68,3.55,3.74,3.38,True
79,"Entire home/apt in Tiong Bahru, Singapore",1079,2016-11-19,Singapore,within a few hours,69,52,False,8,True,True,Tiong Bahru,West,Singapore,1.38778,103.796352,House,Entire home/apt,4,2,TV|Workspace|Air conditioning|Heating|Free parking|Gym|Elevator|Kitchen|Wifi|Pool,202.57,2,30,3.99,3.91,4.19,4.18,3.91,4.18,3.88,True
80,"Entire home/apt in Malate, Manila",1080,2024-02-15,Manila,within an hour,58,98,True,13,True,True,Malate,North,Manila,14.588487,121.00381,Loft,Entire home/apt,3,2,Heating|TV|Kitchen|Pool|Free parking|Workspace|Elevator,210.17,1,90,3.68,3.81,3.36,3.91,3.6,3.81,3.69,False
